Date,Quarter,Close,ATR_14,Qavg_Close,Qstd_Close,Qavg_ATR_14,Prev_Qavg_Close,Prev_Qstd_Close,Total Revenue,Oper Rev,Other Income,Operating Expenses,Operating Profit,Interest,Profit Before Tax,Tax,Net Profit,Basic EPS,Net profit TTM,Basic EPS TTM
2021-03-31,2021Q1,301.79998779296875,12.267857142857142,292.807376048604,43.89713214437134,14.7146945926568,156.61349172440785,21.371709790738745,20305.9,20045.9,260.0,18582.2,1463.7,614.9,1690.3,44.6,1645.7,4.4,-2395.4,-6.3
2021-06-30,2021Q2,339.6000061035156,9.589281354631696,319.1737705918609,18.94552062156096,11.597248050591428,292.807376048604,43.89713214437134,12150.0,11904.2,245.8,11858.8,45.4,621.1,-1314.2,6.6,-1320.7,-3.5,-1525.5,-4.0
2021-09-30,2021Q3,333.3500061035156,10.017857142857142,303.9484146360367,15.309571300085716,8.575680237508415,319.1737705918609,18.94552062156096,11197.3,10996.0,201.3,10772.4,223.6,530.9,-571.9,3.8,-659.3,-1.7,-972.4,-2.5
2021-12-31,2021Q4,482.3999938964844,13.764288766043537,472.5230175199963,44.46791663002335,19.991611264460207,303.9484146360367,15.309571300085716,12491.5,12352.8,138.7,12085.4,267.4,535.6,-581.7,53.8,175.9,0.5,-158.5,-0.4
2022-03-31,2022Q1,433.75,11.50000000000002,471.0311489417905,37.88927143472542,17.554629609512222,472.5230175199963,44.46791663002335,17533.6,17338.3,195.3,16271.4,1066.8,491.8,454.1,40.7,413.4,1.1,-1390.9,-3.6
2022-06-30,2022Q2,411.7999877929688,13.94286019461496,422.94677242156,19.563627795091108,13.826612727433313,471.0311489417905,37.88927143472542,15085.2,14874.4,210.8,14271.7,602.8,528.8,-139.7,41.4,-181.0,-0.5,-251.2,-0.7
2022-09-30,2022Q3,404.6000061035156,13.82143293108258,446.8253968253968,23.26936758759367,11.999717279896986,422.94677242156,19.563627795091108,15141.8,14946.8,195.1,14393.9,552.9,549.4,-251.6,41.0,-292.6,-0.8,115.6,0.3
2022-12-30,2022Q4,387.9500122070313,10.289287022181933,413.4266126078944,15.486386640209092,9.772754475817704,446.8253968253968,23.26936758759367,15967.2,15794.0,173.2,14473.2,1320.8,503.4,560.2,54.0,506.2,1.3,445.9,1.2
2023-03-31,2023Q1,420.7999877929688,10.546428135463158,422.5419355823148,17.447225781285226,10.514171336653048,413.4266126078944,15.486386640209092,20384.1,20142.1,241.9,18087.5,2054.7,465.9,1085.9,-1609.7,2695.6,7.0,2728.1,7.1
2023-06-30,2023Q2,595.5499877929688,11.58929443359375,516.921667989095,43.70315417503303,11.106192961193264,422.5419355823148,17.447225781285226,16131.7,15832.6,299.1,14554.2,1278.3,411.7,21.8,85.9,-64.0,-0.2,2845.1,7.4
2023-09-29,2023Q3,630.2000122070312,11.53214808872768,619.0658753410219,12.651928878299689,12.90550062391493,516.921667989095,43.70315417503303,19121.5,18541.7,579.8,16597.8,1944.0,471.5,1417.3,147.6,1269.6,3.3,4407.4,11.5
2023-12-29,2023Q4,779.9500122070312,16.725010463169642,676.9058329264323,40.70739067411551,13.502625020345052,619.0658753410219,12.651928878299689,18815.4,18668.6,146.8,16693.1,1975.5,412.0,4866.1,296.1,4570.1,11.9,8471.2,22.1
