Company,Predicted_Next_Day,RMSE,MAE,Std_Dev,Mean_Residuals
BAJAJFINSV,1610.5232,44.154823469349445,33.534135398034664,42.577492317352196,-11.696391904139801
ICICIBANK,1051.6987,16.475464342994517,11.815059773112283,16.211313578109255,-2.938407287884737
HINDUNILVR,2403.7893,58.81644811969203,42.13620919730325,58.64991251228011,4.422932479510996
RELIANCE,2905.1008,74.1356273011704,57.309752508593064,74.08827228693399,2.6493668819497636
TATAMOTORS,922.84436,16.23753185182838,12.73418370395533,13.762236297279896,-8.617325149776631
